"PolicyNo","Policy_Company","Policy_Installment_Term","Policy_Billing_Code","Policy_Method_Of_Payment","Policy_Reinstatement_Fee_Indicator","Policy_Zip_Code_Garaging_Location","Vehicle_Territory","Vehicle_Make_Year","Vehicle_Make_Description","Vehicle_Performance","Vehicle_New_Cost_Amount","Vehicle_Symbol","Vehicle_Number_Of_Drivers_Assigned","Vehicle_Usage","Vehicle_Miles_To_Work","Vehicle_Days_Per_Week_Driven","Vehicle_Annual_Miles","Vehicle_Anti_Theft_Device","Vehicle_Passive_Restraint","Vehicle_Age_In_Years","Vehicle_Med_Pay_Limit","Vehicle_Bodily_Injury_Limit","Vehicle_Physical_Damage_Limit","Vehicle_Comprehensive_Coverage_Indicator","Vehicle_Comprehensive_Coverage_Limit","Vehicle_Collision_Coverage_Indicator","Vehicle_Collision_Coverage_Deductible","Driver_Total","Driver_Total_Male","Driver_Total_Female","Driver_Total_Single","Driver_Total_Married","Driver_Total_Related_To_Insured_Self","Driver_Total_Related_To_Insured_Spouse","Driver_Total_Related_To_Insured_Child","Driver_Total_Licensed_In_State","Driver_Minimum_Age","Driver_Maximum_Age","Driver_Total_Teenager_Age_15_19","Driver_Total_College_Ages_20_23","Driver_Total_Young_Adult_Ages_24_29","Driver_Total_Low_Middle_Adult_Ages_30_39","Driver_Total_Middle_Adult_Ages_40_49","Driver_Total_Adult_Ages_50_64","Driver_Total_Senior_Ages_65_69","Driver_Total_Upper_Senior_Ages_70_plus","Vehicle_Youthful_Driver_Indicator","Vehicle_Youthful_Driver_Training_Code","Vehicle_Youthful_Good_Student_Code","Vehicle_Driver_Points","Vehicle_Safe_Driver_Discount_Indicator","EEA_Liability_Coverage_Only_Indicator","EEA_Multi_Auto_Policies_Indicator","EEA_Policy_Zip_Code_3","EEA_Policy_Tenure","EEA_Agency_Type","EEA_Packaged_Policy_Indicator","EEA_Full_Coverage_Indicator","EEA_Prior_Bodily_Injury_Limit","EEA_PolicyYear","SYS_Renewed","SYS_New_Business","Annual_Premium","Claim_Count","Loss_Amount","Frequency","Severity","Loss_Ratio"
"244229040","Standard ","6","Direct Billed to Insured","Pre-paid","N","43417","31","1987","ISZU PICKUP      ","Standard","-1","8","1","Farm    ","-1","5","Unknown","Not Applicable","N","9","1000","100-300","50000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","67","67","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","434","19.6","Hybrid","Y","N","100-200","2006","Y","N","140.98","0","0.0","0.0","0.0","0.0"
"244453220","Standard ","6","Direct Billed to Insured","Pre-paid","N","42459","35","1998","HOND ACCORD EX   ","Standard","-1","13","99","Work    ","10","5","Unknown","Not Applicable","Y","9","1000","100-300","50000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","48","48","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","10.0","Preferred","Y","Y","100-200","2006","Y","N","446.26","0","0.0","0.0","0.0","0.0"
"244588121","Standard ","6","Direct Billed to Insured","Pre-paid","N","42812","31","2002","DODG GR CARA EX  ","Standard","-1","12","1","Farm    ","-1","5","Unknown","Not Applicable","N","6","1000","250-500","100000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","59","59","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","10.1","Standard","Y","Y","100-400","2006","Y","N","290.44","0","0.0","0.0","0.0","0.0"
"246303538","Standard ","6","Direct Billed to Insured","Pre-paid","N","42899","35","1990","MERC GR MAR GS   ","Standard","-1","6","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","25-50  ","25000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","81","81","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","428","19.0","Preferred","N","N","20-50","2006","Y","N","112.36","0","0.0","0.0","0.0","0.0"
"247748338","Standard ","6","Direct Billed to Insured","Pre-paid","N","42488","35","1999","CHEV S10 PICKUP  ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","Y","8","1000","25-50  ","25000","N","-1","N","-1","2","1","1","0","2","1","1","0","2","52","58","0","0","0","0","0","2","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","19.0","Non-standard","Y","N","20-50","2006","Y","N","121.9","0","0.0","0.0","0.0","0.0"
"248746739","Standard ","6","Direct Billed to Insured","Pre-paid","N","43081","27","1997","CHEV TAHOE-LSLT  ","Standard","-1","11","1","Farm    ","-1","5","Unknown","Not Applicable","Y","9","1000","100-300","50000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","64","64","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","19.5","Standard","Y","Y","100-200","2006","Y","N","293.62","0","0.0","0.0","0.0","0.0"
"248794421","Standard ","6","Direct Billed to Insured","Installment","N","42585","31","2002","MAZD MILLENIA P  ","Standard","-1","18","1","Work    ","5","5","Unknown","Alarm Only","Y","6","1000","100-300","50000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","56","56","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","425","10.5","Non-standard","Y","Y","100-200","2006","Y","N","517.28","0","0.0","0.0","0.0","0.0"
"249427338","Standard ","6","Direct Billed to Insured","Installment","N","42608","31","2001","TYTA COROLLA     ","Standard","-1","14","1","Pleasure","-1","5","Unknown","Not Applicable","Y","6","-1","50-100 ","50000","N","-1","Y","500","1","0","1","0","0","1","0","0","1","64","64","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","426","19.0","Preferred","N","Y","40-100 ","2006","Y","N","409.16","0","0.0","0.0","0.0","0.0"
"249448241","Standard ","6","Direct Billed to Insured","Pre-paid","Y","44251","16","1987","TYTA PICKUP      ","Standard","-1","8","1","Work    ","12","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","57","57","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","442","18.4","Hybrid","N","N","20-50","2006","Y","N","148.4","0","0.0","0.0","0.0","0.0"
"249665038","Standard ","6","Direct Billed to Insured","Installment","N","43066","35","1996","GMC  YUKON       ","Standard","-1","12","99","Work    ","10","5","Unknown","Not Applicable","Y","9","5000","100-300","50000","N","-1","N","-1","2","1","1","0","2","0","1","0","2","46","46","0","0","0","0","2","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","430","18.6","Hybrid","N","N","100-200","2006","N","N","43.06","0","0.0","0.0","0.0","0.0"
"250196638","Standard ","6","Direct Billed to Insured","Pre-paid","N","42818","31","2001","LINC TOWNCAR EX  ","Standard","-1","14","1","Farm    ","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","6","5000","25-50  ","25000","N","-1","Y","250","1","0","1","0","1","1","0","0","1","66","66","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","19.0","Standard","Y","Y","20-50","2006","Y","N","416.58","0","0.0","0.0","0.0","0.0"
"250711839","Standard ","6","Direct Billed to Insured","Pre-paid","N","44108","31","2003","CHEV TAHOE       ","Standard","-1","12","99","Work    ","1","5","Unknown","Alarm Only","Y","5","10000","100-300","50000","N","-1","Y","500","2","1","1","0","2","1","1","0","2","40","45","0","0","0","0","2","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","N","N","441","19.1","Preferred","N","Y","100-200","2006","Y","N","546.96","0","0.0","0.0","0.0","0.0"
"251104337","Standard ","6","Direct Billed to Insured","Installment","N","42820","31","2004","CHEV COLORADO B  ","Standard","-1","14","99","Work    ","14","5","Unknown","Alarm Only","Y","3","5000","50-100 ","50000","N","-1","Y","500","1","1","0","0","0","1","0","0","1","34","34","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","N","N","N","428","18.5","Preferred","N","Y","40-100 ","2006","Y","N","550.14","0","0.0","0.0","0.0","0.0"
"251561436","Standard ","6","Direct Billed to Insured","Pre-paid","N","42883","35","1991","CHEV PICKUP1500  ","Standard","-1","8","1","Farm    ","-1","5","Unknown","Not Applicable","N","9","1000","50-100 ","35000","N","-1","N","-1","1","0","1","0","1","0","1","0","1","61","61","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","428","18.0","Hybrid","N","N","40-100 ","2006","Y","N","103.88","0","0.0","0.0","0.0","0.0"
"251628337","Standard ","6","Direct Billed to Insured","Pre-paid","N","43986","31","2007","CHEV SILVERADO   ","Standard","-1","11","1","Farm    ","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","1","5000","100-300","50000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","59","59","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","N","Y","439","18.5","Hybrid","Y","Y","100-200","2006","Y","N","447.32","0","0.0","0.0","0.0","0.0"
"251905836","Standard ","6","Direct Billed to Insured","Pre-paid","N","42757","31","1999","FORD F150        ","Standard","-1","5","1","Work    ","14","5","Unknown","Passive Disabling-Vehicle Recovery","Y","8","1000","25-50  ","25000","N","-1","N","-1","1","0","1","0","1","0","1","0","1","54","54","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","427","18.0","Hybrid","N","N","20-50","2006","Y","N","129.32","0","0.0","0.0","0.0","0.0"
"252457337","Standard ","6","Direct Billed to Insured","Installment","Y","42762","31","2002","FORD TAURUS SES  ","Standard","-1","11","1","Work    ","2","5","Unknown","Alarm Only","Y","5","1000","250-500","100000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","45","45","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","427","18.1","Hybrid","Y","Y","100-400","2006","Y","N","413.4","1","485.9","2.0","485.9","1.18"
"252953436","Standard ","6","Direct Billed to Insured","Pre-paid","N","42369","37","2001","GMC SAVANNAH     ","Standard","-1","14","99","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","6","1000","100-300","100000","N","-1","Y","500","2","1","1","0","2","1","1","0","2","44","46","0","0","0","0","2","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","423","18.0","Hybrid","Y","Y","100-200","2006","Y","N","398.56","0","0.0","0.0","0.0","0.0"
"253261937","Standard ","6","Direct Billed to Insured","Pre-paid","N","43424","31","1997","MERC SABLE GS    ","Standard","-1","6","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","5000","25-50  ","25000","N","-1","N","-1","1","0","1","0","0","1","0","0","1","82","82","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","434","18.5","Hybrid","N","N","20-50","2006","Y","N","125.08","0","0.0","0.0","0.0","0.0"
"253712936","Standard ","6","Direct Billed to Insured","Pre-paid","N","42851","35","1988","JEEP COM PIONR   ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","-1","25-50  ","25000","N","-1","N","-1","1","1","0","1","0","0","0","1","1","19","19","1","0","0","0","0","0","0","0","Y","With Driver Training           ","Not Eligible for Good Student Credit","0","Y","Y","Y","428","18.0","Preferred","N","N","20-50","2006","Y","N","284.08","0","0.0","0.0","0.0","0.0"
"254299737","Standard ","6","Direct Billed to Insured","Installment","N","42433","13","1997","NSSN MAXIMA      ","Standard","-1","17","99","Pleasure","-1","5","Unknown","Alarm Only","Y","9","5000","50-100 ","50000","N","-1","Y","1000","2","1","1","0","2","1","1","0","2","46","48","0","0","0","0","2","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","18.5","Non-standard","N","Y","40-100 ","2006","Y","N","446.26","0","0.0","0.0","0.0","0.0"
"254348937","Standard ","6","Direct Billed to Insured","Installment","N","42472","32","1999","FORD CWN VIC LX  ","Standard","-1","8","1","Work    ","6","5","Unknown","Active Disabling","Y","9","1000","25-50  ","25000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","60","60","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","N","N","Y","424","18.5","Standard","N","Y","20-50","2006","Y","N","384.78","0","0.0","0.0","0.0","0.0"
"254432538","Standard ","6","Direct Billed to Insured","Pre-paid","N","43965","31","2005","FORD FIVE HUNDR  ","Standard","-1","13","1","Farm    ","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","3","25000","100-300","50000","N","-1","Y","100","1","0","1","0","0","1","0","0","1","79","79","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","439","18.5","Preferred","N","Y","100-200","2006","Y","N","537.42","1","2190.89","2.0","2190.89","4.08"
"254816737","Standard ","6","Direct Billed to Insured","Pre-paid","N","44052","18","2003","JAG  S-TYPE SP   ","Intermediate","-1","20","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","5","5000","100-300","50000","N","-1","Y","250","1","0","1","0","1","1","0","0","1","43","43","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","440","18.5","Preferred","N","Y","100-200","2006","Y","N","674.16","0","0.0","0.0","0.0","0.0"
"255451435","Standard ","6","Direct Billed to Insured","Pre-paid","N","43366","31","1994","OLDS CUT CIE S   ","Standard","-1","4","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","2000","25-50  ","25000","N","-1","N","-1","1","0","1","0","0","1","0","0","1","71","71","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","N","433","17.5","Preferred","N","N","20-50","2006","Y","N","128.26","0","0.0","0.0","0.0","0.0"
"255930836","Standard ","6","Direct Billed to Insured","Installment","N","43084","27","2003","CHRY PT CRSR     ","Standard","-1","16","1","Work    ","4","5","Unknown","Passive Disabling-Vehicle Recovery","Y","4","1000","50-100 ","50000","N","-1","Y","250","2","1","1","0","2","1","1","0","2","52","63","0","0","0","0","0","2","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","17.5","Hybrid","Y","Y","40-100 ","2006","Y","N","633.88","0","0.0","0.0","0.0","0.0"
"256002137","Standard ","6","Direct Billed to Insured","Installment","N","43081","27","2004","NSSN 350Z        ","Standard","-1","22","1","Work    ","2","5","Unknown","Passive Disabling-Vehicle Recovery","Y","3","1000","100-300","50000","N","-1","Y","500","1","0","1","0","0","1","0","0","1","49","49","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","430","18.1","Standard","N","Y","100-200","2006","Y","N","796.06","0","0.0","0.0","0.0","0.0"
"257195737","Standard ","6","Direct Billed to Insured","Pre-paid","N","44139","31","1998","OLDS 88-LS       ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","10000","50-100 ","35000","N","-1","Y","250","1","0","1","0","1","1","0","0","1","69","69","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","441","18.1","Preferred","Y","Y","40-100 ","2006","N","N","342.12","0","0.0","0.0","0.0","0.0"
"257683336","Standard ","6","Direct Billed to Insured","Pre-paid","N","43981","31","1997","DODG INTRPD-SPT  ","Standard","-1","8","1","Work    ","10","5","Unknown","Not Applicable","Y","9","1000","25-50  ","25000","N","-1","Y","250","2","1","1","0","2","1","1","0","2","71","72","0","0","0","0","0","0","0","2","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","439","18.0","Standard","Y","Y","20-50","2006","N","N","172.64","0","0.0","0.0","0.0","0.0"
"257990036","Standard ","6","Direct Billed to Insured","Pre-paid","Y","42876","35","1992","MAZD MPV         ","Standard","-1","11","99","Work    ","7","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","N","-1","1","1","0","0","1","0","1","0","1","39","39","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","17.8","Preferred","Y","N","20-50","2006","N","N","151.72","0","0.0","0.0","0.0","0.0"
"258253634","Standard ","6","Direct Billed to Insured","Pre-paid","N","52168","31","2005","NSSN ALTIMA BAS  ","Standard","-1","13","1","Pleasure","-1","5","Unknown","Alarm Only","Y","2","1000","25-50  ","25000","N","-1","Y","250","1","0","1","0","0","1","0","0","1","66","66","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","521","17.0","Preferred","N","Y","20-50","2006","Y","N","360.4","0","0.0","0.0","0.0","0.0"
"258959934","Standard ","6","Direct Billed to Insured","Pre-paid","N","42568","30","1997","GMC  JIMMY       ","Standard","-1","12","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","100-300","50000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","61","61","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","425","17.0","Hybrid","Y","Y","100-200","2006","Y","N","329.66","0","0.0","0.0","0.0","0.0"
"259219042","Standard ","6","Direct Billed to Insured","Installment","Y","42866","30","2002","DODG NEON SE     ","Standard","-1","17","99","Work    ","10","5","Unknown","Passive Disabling-Vehicle Recovery","Y","5","5000","25-50  ","25000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","47","47","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","17.4","Preferred","N","N","20-50","2006","Y","N","151.58","0","0.0","0.0","0.0","0.0"
"260020935","Standard ","6","Direct Billed to Insured","Installment","N","42525","35","2000","HOND CR-V LX     ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","7","1000","100-300","100000","N","-1","Y","250","1","0","1","0","1","0","1","0","1","54","54","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","425","17.0","Non-standard","Y","Y","100-200","2006","Y","N","375.24","0","0.0","0.0","0.0","0.0"
"260234035","Standard ","6","Direct Billed to Insured","Pre-paid","N","42385","35","2007","CHEV SILVERADO   ","Standard","-1","12","1","Work    ","5","5","Unknown","Passive Disabling-Vehicle Recovery","Y","1","1000","50-100 ","35000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","57","57","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","423","17.5","Preferred","Y","Y","40-100 ","2006","Y","N","255.46","1","1454.06","2.0","1454.06","5.69"
"260797835","Standard ","6","Direct Billed to Insured","Pre-paid","N","42459","35","1997","FORD F150        ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","-1","300-500","100000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","63","63","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","17.5","Preferred","N","Y","200-400","2006","Y","N","301.04","0","0.0","0.0","0.0","0.0"
"260999535","Standard ","6","Direct Billed to Insured","Installment","Y","52196","31","1994","NSSN SENTRA      ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","25-50  ","25000","N","-1","Y","200","2","1","1","0","2","1","1","0","2","59","62","0","0","0","0","0","2","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","521","17.3","Non-standard","N","Y","20-50","2006","Y","N","316.94","0","0.0","0.0","0.0","0.0"
"261298134","Standard ","6","Direct Billed to Insured","Installment","N","42385","35","2003","CHEV SLVR2500HD  ","Standard","-1","15","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","4","1000","100-300","50000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","51","51","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","423","17.0","Preferred","Y","Y","100-200","2006","Y","N","427.18","0","0.0","0.0","0.0","0.0"
"262322033","Standard ","6","Direct Billed to Insured","Pre-paid","N","44095","31","1986","BUIK REGAL       ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","N","-1","1","0","1","0","1","0","1","0","1","67","67","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","440","16.5","Preferred","Y","N","20-50","2006","Y","N","98.07","0","0.0","0.0","0.0","0.0"
"262493033","Standard ","6","Direct Billed to Insured","Pre-paid","N","42425","35","1997","MBNZ E420        ","Standard","-1","21","1","Work    ","12","5","Unknown","Active Disabling","Y","9","10000","250-500","100000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","36","36","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","16.5","Hybrid","Y","Y","100-400","2006","Y","N","620.1","0","0.0","0.0","0.0","0.0"
"263274233","Standard ","6","Direct Billed to Insured","Pre-paid","N","42858","35","1998","PLYM GRVOYSE-EX  ","Standard","-1","7","1","Work    ","4","5","Unknown","Not Applicable","Y","9","1000","50-100 ","50000","N","-1","N","-1","1","0","1","0","1","0","1","0","1","48","48","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","16.5","Standard","Y","N","40-100 ","2006","Y","N","149.46","0","0.0","0.0","0.0","0.0"
"264794220","Standard ","6","Direct Billed to Insured","Pre-paid","N","42965","35","1996","BUIK CENTURY SP  ","Standard","-1","7","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","25-50  ","25000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","67","67","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","429","10.0","Hybrid","Y","Y","20-50","2006","Y","N","313.76","0","0.0","0.0","0.0","0.0"
"265242119","Standard ","6","Direct Billed to Insured","Pre-paid","N","42465","35","1999","FORD CWN VIC LX  ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Alarm Only","Y","8","1000","100-300","100000","N","-1","Y","500","1","1","0","0","0","1","0","0","1","76","76","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","N","N","424","9.5","Non-standard","N","Y","100-200","2006","N","N","346.62","0","0.0","0.0","0.0","0.0"
"265561621","Standard ","6","Direct Billed to Insured","Pre-paid","Y","42784","31","1996","MITS ECLIPSE RS  ","Standard","-1","16","1","Work    ","3","5","Unknown","Not Applicable","Y","9","2000","50-100 ","50000","N","-1","Y","500","2","1","1","0","2","1","1","0","2","51","51","0","0","0","0","0","2","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","427","10.0","Non-standard","Y","Y","40-100 ","2006","Y","N","411.28","0","0.0","0.0","0.0","0.0"
"265605520","Standard ","6","Direct Billed to Insured","Pre-paid","N","42462","35","2001","BUIK CNTRYCU-SE  ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","6","-1","100-300","100000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","73","73","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","10.0","Non-standard","Y","Y","100-200","2006","Y","N","312.7","0","0.0","0.0","0.0","0.0"
"266424819","Standard ","6","Direct Billed to Insured","Pre-paid","N","43981","31","2005","FORD RANGER REG  ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","2","-1","100-300","25000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","74","74","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","439","9.5","Standard","Y","Y","100-200","2006","Y","N","407.04","0","0.0","0.0","0.0","0.0"
"267113620","Standard ","6","Direct Billed to Insured","Pre-paid","N","43160","15","1991","NSSN PICKUP      ","Standard","-1","7","2","Work    ","14","5","Unknown","Not Applicable","N","9","-1","25-50  ","25000","N","-1","N","-1","2","2","0","1","1","1","0","1","2","20","40","0","1","0","0","1","0","0","0","Y","Without Driver Training        ","Not Eligible for Good Student Credit","0","Y","Y","Y","431","9.5","Non-standard","N","N","20-50","2006","Y","N","299.98","0","0.0","0.0","0.0","0.0"
"267297820","Standard ","6","Direct Billed to Insured","Installment","N","42631","31","1997","PONT GRN PRX SE  ","Standard","-1","6","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","50-100 ","50000","N","-1","Y","250","1","0","1","0","1","1","0","0","1","53","53","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","426","9.5","Hybrid","Y","Y","40-100 ","2006","N","N","286.2","0","0.0","0.0","0.0","0.0"
"267520320","Standard ","6","Direct Billed to Insured","Installment","N","43890","31","2003","JEEP GRCHER LAR  ","Standard","-1","11","1","Pleasure","-1","5","Unknown","Not Applicable","Y","5","1000","100-300","50000","N","-1","Y","250","1","0","1","1","0","1","0","0","1","33","33","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","438","10.0","Non-standard","Y","Y","100-200","2006","Y","N","442.02","0","0.0","0.0","0.0","0.0"
"268428520","Standard ","6","Direct Billed to Insured","Installment","N","42458","35","1992","CHEV S10 BLAZER  ","Standard","-1","16","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","5000","25-50  ","25000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","64","64","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","10.0","Non-standard","Y","N","20-50","2006","N","N","145.22","0","0.0","0.0","0.0","0.0"
"268587122","Standard ","6","Direct Billed to Insured","Pre-paid","Y","42868","35","2002","FORD EXPDTNEDBR  ","Standard","-1","15","99","Farm    ","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","6","1000","100-300","50000","N","-1","Y","500","2","1","1","0","2","1","1","0","2","34","49","0","0","0","1","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","9.9","Preferred","Y","Y","100-200","2006","Y","N","342.38","0","0.0","0.0","0.0","0.0"
"268936419","Standard ","6","Direct Billed to Insured","Installment","N","44073","31","2003","CADI ESCDEXT     ","Standard","-1","22","1","Pleasure","-1","5","Unknown","Alarm Only","Y","4","-1","25-50  ","25000","N","-1","Y","500","1","1","0","0","0","1","0","0","1","61","61","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","440","9.5","Hybrid","Y","Y","20-50","2006","Y","N","528.94","0","0.0","0.0","0.0","0.0"
"268949320","Standard ","6","Direct Billed to Insured","Installment","N","43946","31","2005","CHRY 300 TOURIN  ","Intermediate","-1","17","1","Work    ","12","5","Unknown","Alarm Only","Y","3","-1","25-50  ","25000","N","-1","Y","500","1","0","1","1","0","1","0","0","1","36","36","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","N","Y","439","10.0","Standard","Y","Y","20-50","2006","Y","N","603.14","0","0.0","0.0","0.0","0.0"
